,Abilities,Attack,Base EXP,Base Happiness,Catch rate,Defense,EV yield,Egg Groups,Egg cycles,Gender,Growth Rate,HP,Height,Japanese,Local №,National №,Sp. Atk,Sp. Def,Species,Speed,Type,Weight,desc,name
370,Rock HeadSheer Force (hidden ability),75,89,35 (lower than normal),"45 (5.9% with PokBall, full HP)",60, 1 Attack, Dragon ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,45,2′0″ (0.61m),Tatsubei,"187 (Ruby,Sapphire,Emerald)014 (X,Y)196 (Omega Ruby,Alpha Sapphire)",371,40,30,Rock Head Pokmon,50, Dragon ,92.8 lbs (42.1 kg), Bagon is a Dragon type Pokmon introduced in Generation 3. It is known as the Rock Head Pokmon. ,Bagon
371,Rock HeadOvercoat (hidden ability),95,144,35 (lower than normal),"45 (5.9% with PokBall, full HP)",100, 2 Defense, Dragon ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,65,3′7″ (1.09m),Komoru,"188 (Ruby,Sapphire,Emerald)015 (X,Y)197 (Omega Ruby,Alpha Sapphire)",372,60,50,Endurance Pokmon,50, Dragon ,243.6 lbs (110.5 kg), Shelgon is a Dragon type Pokmon introduced in Generation 3. It is known as the Endurance Pokmon. ,Shelgon
372,IntimidateMoxie (hidden ability),135,218,35 (lower than normal),"45 (5.9% with PokBall, full HP)",80, 3 Attack, Dragon ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,95,4′11″ (1.50m),Bomanda,"189 (Ruby,Sapphire,Emerald)016 (X,Y)198 (Omega Ruby,Alpha Sapphire)",373,110,80,Dragon Pokmon,100, Dragon Flying ,226.2 lbs (102.6 kg)," Salamence is a Dragon/Flying type Pokmon introduced in Generation 3. It is known as the Dragon Pokmon. Salamence has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Salamence
373,Clear BodyLight Metal (hidden ability),55,103,35 (lower than normal),"3 (0.4% with PokBall, full HP)",80, 1 Defense, Mineral ,"41 (minimum 10,455 steps)",Genderless,Slow,40,2′0″ (0.61m),Danbaru,"190 (Ruby,Sapphire,Emerald)262 (Black 2,White 2)199 (Omega Ruby,Alpha Sapphire)",374,35,60,Iron Ball Pokmon,30, Steel Psychic ,209.9 lbs (95.2 kg), Beldum is a Steel/Psychic type Pokmon introduced in Generation 3. It is known as the Iron Ball Pokmon. ,Beldum
374,Clear BodyLight Metal (hidden ability),75,153,35 (lower than normal),"3 (0.4% with PokBall, full HP)",100, 2 Defense, Mineral ,"41 (minimum 10,455 steps)",Genderless,Slow,60,3′11″ (1.19m),Metangu,"191 (Ruby,Sapphire,Emerald)263 (Black 2,White 2)200 (Omega Ruby,Alpha Sapphire)",375,55,80,Iron Claw Pokmon,50, Steel Psychic ,446.4 lbs (202.5 kg), Metang is a Steel/Psychic type Pokmon introduced in Generation 3. It is known as the Iron Claw Pokmon. ,Metang
375,Clear BodyLight Metal (hidden ability),135,210,35 (lower than normal),"3 (0.4% with PokBall, full HP)",130, 3 Defense, Mineral ,"41 (minimum 10,455 steps)",Genderless,Slow,80,5′3″ (1.60m),Metagurosu,"192 (Ruby,Sapphire,Emerald)264 (Black 2,White 2)201 (Omega Ruby,Alpha Sapphire)",376,95,90,Iron Leg Pokmon,70, Steel Psychic ,1212.5 lbs (550.0 kg)," Metagross is a Steel/Psychic type Pokmon introduced in Generation 3. It is known as the Iron Leg Pokmon. Metagross has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Metagross
376,Clear BodySturdy (hidden ability),100,217,35 (lower than normal),"3 (0.4% with PokBall, full HP)",200, 3 Defense, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,80,5′7″ (1.70m),Rejirokku,"193 (Ruby,Sapphire,Emerald)202 (Omega Ruby,Alpha Sapphire)",377,50,100,Rock Peak Pokmon,50, Rock ,507.1 lbs (230.0 kg), Regirock is a Rock type Pokmon introduced in Generation 3. It is known as the Rock Peak Pokmon. ,Regirock
377,Clear BodyIce Body (hidden ability),50,216,35 (lower than normal),"3 (0.4% with PokBall, full HP)",100, 3 Special Defense, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,80,5′11″ (1.80m),Rejiaisu,"194 (Ruby,Sapphire,Emerald)203 (Omega Ruby,Alpha Sapphire)",378,100,200,Iceberg Pokmon,50, Ice ,385.8 lbs (175.0 kg), Regice is an Ice type Pokmon introduced in Generation 3. It is known as the Iceberg Pokmon. ,Regice
378,Clear BodyLight Metal (hidden ability),75,215,35 (lower than normal),"3 (0.4% with PokBall, full HP)",150," 2 Defense, 1 Special Defense", Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,80,6′3″ (1.91m),Rejisuchiru,"195 (Ruby,Sapphire,Emerald)204 (Omega Ruby,Alpha Sapphire)",379,75,150,Iron Pokmon,50, Steel ,451.9 lbs (205.0 kg), Registeel is a Steel type Pokmon introduced in Generation 3. It is known as the Iron Pokmon. ,Registeel
379,Levitate,80,211,90 (higher than normal),"3 (0.4% with PokBall, full HP)",90, 3 Special Defense, Undiscovered ,"121 (minimum 30,855 steps)","0% male, 100% female",Slow,80,4′7″ (1.40m),Ratiasu,"196 (Ruby,Sapphire,Emerald)205 (Omega Ruby,Alpha Sapphire)",380,110,130,Eon Pokmon,110, Dragon Psychic ,88.2 lbs (40.0 kg)," Latias is a Dragon/Psychic type Pokmon introduced in Generation 3. It is known as the Eon Pokmon. Latias has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Latias
380,Levitate,90,211,90 (higher than normal),"3 (0.4% with PokBall, full HP)",80, 3 Special Attack, Undiscovered ,"121 (minimum 30,855 steps)","100% male, 0% female",Slow,80,6′7″ (2.01m),Ratiosu,"197 (Ruby,Sapphire,Emerald)206 (Omega Ruby,Alpha Sapphire)",381,130,110,Eon Pokmon,110, Dragon Psychic ,132.3 lbs (60.0 kg)," Latios is a Dragon/Psychic type Pokmon introduced in Generation 3. It is known as the Eon Pokmon. Latios has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Latios
381,Drizzle,100,218,0 (lower than normal),"5 (0.7% with PokBall, full HP)",90, 3 Special Attack, Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,100,14′9″ (4.50m),Kaioga,"198 (Ruby,Sapphire,Emerald)207 (Omega Ruby,Alpha Sapphire)",382,150,140,Sea Basin Pokmon,90, Water ,776 lbs (352.0 kg), Kyogre is a Water type Pokmon introduced in Generation 3. It is known as the Sea Basin Pokmon. ,Kyogre
382,Drought,150,218,0 (lower than normal),"5 (0.7% with PokBall, full HP)",140, 3 Attack, Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,100,11′6″ (3.51m),Guradon,"199 (Ruby,Sapphire,Emerald)208 (Omega Ruby,Alpha Sapphire)",383,100,90,Continent Pokmon,90, Ground ,2094.4 lbs (950.0 kg), Groudon is a Ground type Pokmon introduced in Generation 3. It is known as the Continent Pokmon. ,Groudon
383,Air Lock,150,220,0 (lower than normal),"3 (0.4% with PokBall, full HP)",90," 2 Attack, 1 Special Attack", Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,105,23′0″ (7.01m),Rekkuza,"200 (Ruby,Sapphire,Emerald)209 (Omega Ruby,Alpha Sapphire)",384,150,90,Sky High Pokmon,95, Dragon Flying ,455.3 lbs (206.5 kg)," Rayquaza is a Dragon/Flying type Pokmon introduced in Generation 3. It is known as the Sky High Pokmon. Rayquaza has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards. ",Rayquaza
384,Serene Grace,100,215,100 (higher than normal),"3 (0.4% with PokBall, full HP)",100, 3 HP, Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,100,1′0″ (0.30m),,"201 (Ruby,Sapphire,Emerald)210 (Omega Ruby,Alpha Sapphire)",385,100,100,Wish Pokmon,100, Steel Psychic ,2.4 lbs (1.1 kg), Jirachi is a Steel/Psychic type Pokmon introduced in Generation 3. It is known as the Wish Pokmon. ,Jirachi
385,Pressure,150,215,0 (lower than normal),"3 (0.4% with PokBall, full HP)",50," 1 Attack, 1 Special Attack, 1 Speed", Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,50,5′7″ (1.70m),Deokishisu,"202 (Ruby,Sapphire,Emerald)211 (Omega Ruby,Alpha Sapphire)",386,150,50,DNA Pokmon,150, Psychic ,134 lbs (60.8 kg), Deoxys is a Psychic type Pokmon introduced in Generation 3. It is known as the DNA Pokmon. ,Deoxys
386,OvergrowShell Armor (hidden ability),68,64,70 (normal),"45 (5.9% with PokBall, full HP)",64, 1 Attack," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,55,1′4″ (0.41m),Naetoru,"001 (Diamond,Pearl)001 (Platinum)",387,45,55,Tiny Leaf Pokmon,31, Grass ,22.5 lbs (10.2 kg), Turtwig is a Grass type Pokmon introduced in Generation 4. It is known as the Tiny Leaf Pokmon. ,Turtwig
387,OvergrowShell Armor (hidden ability),89,141,70 (normal),"45 (5.9% with PokBall, full HP)",85," 1 Attack, 1 Defense"," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,75,3′7″ (1.09m),Hayashigame,"002 (Diamond,Pearl)002 (Platinum)",388,55,65,Grove Pokmon,36, Grass ,213.8 lbs (97.0 kg), Grotle is a Grass type Pokmon introduced in Generation 4. It is known as the Grove Pokmon. ,Grotle
388,OvergrowShell Armor (hidden ability),109,208,70 (normal),"45 (5.9% with PokBall, full HP)",105," 2 Attack, 1 Defense"," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,95,7′3″ (2.21m),Dodaitosu,"003 (Diamond,Pearl)003 (Platinum)",389,75,85,Continent Pokmon,56, Grass Ground ,683.4 lbs (310.0 kg), Torterra is a Grass/Ground type Pokmon introduced in Generation 4. It is known as the Continent Pokmon. ,Torterra
389,BlazeIron Fist (hidden ability),58,65,70 (normal),"45 (5.9% with PokBall, full HP)",44, 1 Speed," Field, Human-Like ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,44,1′8″ (0.51m),Hikozaru,"004 (Diamond,Pearl)004 (Platinum)",390,58,44,Chimp Pokmon,61, Fire ,13.7 lbs (6.2 kg), Chimchar is a Fire type Pokmon introduced in Generation 4. It is known as the Chimp Pokmon. ,Chimchar
390,BlazeIron Fist (hidden ability),78,142,70 (normal),"45 (5.9% with PokBall, full HP)",52," 1 Special Attack, 1 Speed"," Field, Human-Like ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,64,2′11″ (0.89m),Moukazaru,"005 (Diamond,Pearl)005 (Platinum)",391,78,52,Playful Pokmon,81, Fire Fighting ,48.5 lbs (22.0 kg), Monferno is a Fire/Fighting type Pokmon introduced in Generation 4. It is known as the Playful Pokmon. ,Monferno
391,BlazeIron Fist (hidden ability),104,209,70 (normal),"45 (5.9% with PokBall, full HP)",71," 1 Attack, 1 Special Attack, 1 Speed"," Field, Human-Like ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,76,3′11″ (1.19m),Goukazaru,"006 (Diamond,Pearl)006 (Platinum)",392,104,71,Flame Pokmon,108, Fire Fighting ,121.3 lbs (55.0 kg), Infernape is a Fire/Fighting type Pokmon introduced in Generation 4. It is known as the Flame Pokmon. ,Infernape
392,TorrentDefiant (hidden ability),51,66,70 (normal),"45 (5.9% with PokBall, full HP)",53, 1 Special Attack," Field, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,53,1′4″ (0.41m),Potchama,"007 (Diamond,Pearl)007 (Platinum)",393,61,56,Penguin Pokmon,40, Water ,11.5 lbs (5.2 kg), Piplup is a Water type Pokmon introduced in Generation 4. It is known as the Penguin Pokmon. ,Piplup
393,TorrentDefiant (hidden ability),66,143,70 (normal),"45 (5.9% with PokBall, full HP)",68, 2 Special Attack," Field, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,64,2′7″ (0.79m),Pottaishi,"008 (Diamond,Pearl)008 (Platinum)",394,81,76,Penguin Pokmon,50, Water ,50.7 lbs (23.0 kg), Prinplup is a Water type Pokmon introduced in Generation 4. It is known as the Penguin Pokmon. ,Prinplup
394,TorrentDefiant (hidden ability),86,210,70 (normal),"45 (5.9% with PokBall, full HP)",88, 3 Special Attack," Field, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,84,5′7″ (1.70m),Enperuto,"009 (Diamond,Pearl)009 (Platinum)",395,111,101,Emperor Pokmon,60, Water Steel ,186.3 lbs (84.5 kg), Empoleon is a Water/Steel type Pokmon introduced in Generation 4. It is known as the Emperor Pokmon. ,Empoleon
395,Keen EyeReckless (hidden ability),55,56,70 (normal),"255 (33.3% with PokBall, full HP)",30, 1 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,40,1′0″ (0.30m),Mukkuru,"010 (Diamond,Pearl)010 (Platinum)099 (X,Y)",396,30,30,Starling Pokmon,60, Normal Flying ,4.4 lbs (2.0 kg), Starly is a Normal/Flying type Pokmon introduced in Generation 4. It is known as the Starling Pokmon. ,Starly
396,IntimidateReckless (hidden ability),75,113,70 (normal),"120 (15.7% with PokBall, full HP)",50, 2 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,55,2′0″ (0.61m),Mukubado,"011 (Diamond,Pearl)011 (Platinum)100 (X,Y)",397,40,40,Starling Pokmon,80, Normal Flying ,34.2 lbs (15.5 kg), Staravia is a Normal/Flying type Pokmon introduced in Generation 4. It is known as the Starling Pokmon. ,Staravia
397,IntimidateReckless (hidden ability),120,172,70 (normal),"45 (5.9% with PokBall, full HP)",70, 3 Attack, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,85,3′11″ (1.19m),Mukuhoku,"012 (Diamond,Pearl)012 (Platinum)101 (X,Y)",398,50,60,Predator Pokmon,100, Normal Flying ,54.9 lbs (24.9 kg), Staraptor is a Normal/Flying type Pokmon introduced in Generation 4. It is known as the Predator Pokmon. ,Staraptor
398,SimpleUnawareMoody (hidden ability),45,58,70 (normal),"255 (33.3% with PokBall, full HP)",40, 1 HP," Field, Water 1 ","16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,59,1′8″ (0.51m),Bippa,"013 (Diamond,Pearl)013 (Platinum)038 (X,Y)",399,35,40,Plump Mouse Pokmon,31, Normal ,44.1 lbs (20.0 kg), Bidoof is a Normal type Pokmon introduced in Generation 4. It is known as the Plump Mouse Pokmon. ,Bidoof
399,SimpleUnawareMoody (hidden ability),85,116,70 (normal),"127 (16.6% with PokBall, full HP)",60, 2 Attack," Field, Water 1 ","16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,79,3′3″ (0.99m),Bidaru,"014 (Diamond,Pearl)014 (Platinum)039 (X,Y)",400,55,60,Beaver Pokmon,71, Normal Water ,69.4 lbs (31.5 kg), Bibarel is a Normal/Water type Pokmon introduced in Generation 4. It is known as the Beaver Pokmon. ,Bibarel
400,Shed SkinRun Away (hidden ability),25,54,70 (normal),"255 (33.3% with PokBall, full HP)",41, 1 Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,37,1′0″ (0.30m),Koroboshi,"015 (Diamond,Pearl)015 (Platinum)",401,25,41,Cricket Pokmon,25, Bug ,4.9 lbs (2.2 kg), Kricketot is a Bug type Pokmon introduced in Generation 4. It is known as the Cricket Pokmon. ,Kricketot
401,SwarmTechnician (hidden ability),85,159,70 (normal),"45 (5.9% with PokBall, full HP)",51, 2 Attack, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,77,3′3″ (0.99m),Korotokku,"016 (Diamond,Pearl)016 (Platinum)",402,55,51,Cricket Pokmon,65, Bug ,56.2 lbs (25.5 kg), Kricketune is a Bug type Pokmon introduced in Generation 4. It is known as the Cricket Pokmon. ,Kricketune
402,IntimidateRivalryGuts (hidden ability),65,60,70 (normal),"235 (30.7% with PokBall, full HP)",34, 1 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,45,1′8″ (0.51m),Korinku,"017 (Diamond,Pearl)017 (Platinum)",403,40,34,Flash Pokmon,45, Electric ,20.9 lbs (9.5 kg), Shinx is an Electric type Pokmon introduced in Generation 4. It is known as the Flash Pokmon. ,Shinx
403,IntimidateRivalryGuts (hidden ability),85,117,100 (higher than normal),"120 (15.7% with PokBall, full HP)",49, 2 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,60,2′11″ (0.89m),Rukushio,"018 (Diamond,Pearl)018 (Platinum)",404,60,49,Spark Pokmon,60, Electric ,67.2 lbs (30.5 kg), Luxio is an Electric type Pokmon introduced in Generation 4. It is known as the Spark Pokmon. ,Luxio
404,IntimidateRivalryGuts (hidden ability),120,194,70 (normal),"45 (5.9% with PokBall, full HP)",79, 3 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,80,4′7″ (1.40m),Rentora,"019 (Diamond,Pearl)019 (Platinum)",405,95,79,Gleam Eyes Pokmon,70, Electric ,92.6 lbs (42.0 kg), Luxray is an Electric type Pokmon introduced in Generation 4. It is known as the Gleam Eyes Pokmon. ,Luxray
405,Natural CurePoison PointLeaf Guard (hidden ability),30,68,70 (normal),"255 (33.3% with PokBall, full HP)",35, 1 Special Attack, Undiscovered ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,40,0′8″ (0.20m),Subomi,"025 (Diamond,Pearl)025 (Platinum)133 (Black 2,White 2)071 (X,Y)097 (Omega Ruby,Alpha Sapphire)",406,50,70,Bud Pokmon,55, Grass Poison ,2.6 lbs (1.2 kg), Budew is a Grass/Poison type Pokmon introduced in Generation 4. It is known as the Bud Pokmon. ,Budew
406,Natural CurePoison PointTechnician (hidden ability),70,204,70 (normal),"75 (9.8% with PokBall, full HP)",65, 3 Special Attack," Fairy, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,60,2′11″ (0.89m),Rozureido,"027 (Diamond,Pearl)027 (Platinum)135 (Black 2,White 2)073 (X,Y)099 (Omega Ruby,Alpha Sapphire)",407,125,105,Bouquet Pokmon,90, Grass Poison ,32 lbs (14.5 kg), Roserade is a Grass/Poison type Pokmon introduced in Generation 4. It is known as the Bouquet Pokmon. ,Roserade
407,Mold BreakerSheer Force (hidden ability),125,99,70 (normal),"45 (5.9% with PokBall, full HP)",40, 1 Attack, Monster ,"31 (minimum 7,905 steps)","87.5% male, 12.5% female",Erratic,67,2′11″ (0.89m),Zugaidosu,"036 (Diamond,Pearl)036 (Platinum)",408,30,30,Head Butt Pokmon,58, Rock ,69.4 lbs (31.5 kg), Cranidos is a Rock type Pokmon introduced in Generation 4. It is known as the Head Butt Pokmon. ,Cranidos
408,Mold BreakerSheer Force (hidden ability),165,199,70 (normal),"45 (5.9% with PokBall, full HP)",60, 2 Attack, Monster ,"31 (minimum 7,905 steps)","87.5% male, 12.5% female",Erratic,97,5′3″ (1.60m),Ramuparudo,"037 (Diamond,Pearl)037 (Platinum)",409,65,50,Head Butt Pokmon,58, Rock ,226 lbs (102.5 kg), Rampardos is a Rock type Pokmon introduced in Generation 4. It is known as the Head Butt Pokmon. ,Rampardos
409,SturdySoundproof (hidden ability),42,99,70 (normal),"45 (5.9% with PokBall, full HP)",118, 1 Defense, Monster ,"31 (minimum 7,905 steps)","87.5% male, 12.5% female",Erratic,30,1′8″ (0.51m),Tatetopusu,"038 (Diamond,Pearl)038 (Platinum)",410,42,88,Shield Pokmon,30, Rock Steel ,125.7 lbs (57.0 kg), Shieldon is a Rock/Steel type Pokmon introduced in Generation 4. It is known as the Shield Pokmon. ,Shieldon
410,SturdySoundproof (hidden ability),52,199,70 (normal),"45 (5.9% with PokBall, full HP)",168, 2 Defense, Monster ,"31 (minimum 7,905 steps)","87.5% male, 12.5% female",Erratic,60,4′3″ (1.30m),Toridepusu,"039 (Diamond,Pearl)039 (Platinum)",411,47,138,Shield Pokmon,30, Rock Steel ,329.6 lbs (149.5 kg), Bastiodon is a Rock/Steel type Pokmon introduced in Generation 4. It is known as the Shield Pokmon. ,Bastiodon
411,Shed SkinOvercoat (hidden ability),29,61,70 (normal),"120 (15.7% with PokBall, full HP)",45, 1 Special Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,40,0′8″ (0.20m),Minomutchi,"045 (Diamond,Pearl)045 (Platinum)044 (X,Y)",412,29,45,Bagworm Pokmon,36, Bug ,7.5 lbs (3.4 kg), Burmy is a Bug type Pokmon introduced in Generation 4. It is known as the Bagworm Pokmon. ,Burmy
412,AnticipationOvercoat (hidden ability),59,159,70 (normal),"45 (5.9% with PokBall, full HP)",85, 2 Special Defense, Bug ,"16 (minimum 4,080 steps)","0% male, 100% female",Medium Fast,60,1′8″ (0.51m),Minomadamu,"046 (Diamond,Pearl)046 (Platinum)045 (X,Y)",413,79,105,Bagworm Pokmon,36, Bug Grass ,14.3 lbs (6.5 kg), Wormadam is a Bug/Grass type Pokmon introduced in Generation 4. It is known as the Bagworm Pokmon. ,Wormadam
413,SwarmTinted Lens (hidden ability),94,159,70 (normal),"45 (5.9% with PokBall, full HP)",50," 1 Attack, 1 Special Attack", Bug ,"16 (minimum 4,080 steps)","100% male, 0% female",Medium Fast,70,2′11″ (0.89m),Gameiru,"047 (Diamond,Pearl)047 (Platinum)046 (X,Y)",414,94,50,Moth Pokmon,66, Bug Flying ,51.4 lbs (23.3 kg), Mothim is a Bug/Flying type Pokmon introduced in Generation 4. It is known as the Moth Pokmon. ,Mothim
414,Honey GatherHustle (hidden ability),30,63,70 (normal),"120 (15.7% with PokBall, full HP)",42, 1 Speed, Bug ,"16 (minimum 4,080 steps)","87.5% male, 12.5% female",Medium Slow,30,1′0″ (0.30m),Mitsuhani,"053 (Diamond,Pearl)053 (Platinum)142 (Black 2,White 2)076 (X,Y)",415,30,42,Tiny Bee Pokmon,70, Bug Flying ,12.1 lbs (5.5 kg), Combee is a Bug/Flying type Pokmon introduced in Generation 4. It is known as the Tiny Bee Pokmon. ,Combee
415,PressureUnnerve (hidden ability),80,188,70 (normal),"45 (5.9% with PokBall, full HP)",102," 1 Defense, 1 Special Defense", Bug ,"16 (minimum 4,080 steps)","0% male, 100% female",Medium Slow,70,3′11″ (1.19m),Bikuin,"054 (Diamond,Pearl)054 (Platinum)143 (Black 2,White 2)077 (X,Y)",416,80,102,Beehive Pokmon,40, Bug Flying ,84.9 lbs (38.5 kg), Vespiquen is a Bug/Flying type Pokmon introduced in Generation 4. It is known as the Beehive Pokmon. ,Vespiquen
416,PickupRun AwayVolt Absorb (hidden ability),45,120,100 (higher than normal),"200 (26.1% with PokBall, full HP)",70, 1 Speed," Fairy, Field ","11 (minimum 2,805 steps)","50% male, 50% female",Medium Fast,60,1′4″ (0.41m),,"055 (Diamond,Pearl)055 (Platinum)132 (X,Y)",417,45,90,EleSquirrel Pokmon,95, Electric ,8.6 lbs (3.9 kg), Pachirisu is an Electric type Pokmon introduced in Generation 4. It is known as the EleSquirrel Pokmon. ,Pachirisu
417,Swift SwimWater Veil (hidden ability),65,75,70 (normal),"190 (24.8% with PokBall, full HP)",35, 1 Speed," Field, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,55,2′4″ (0.71m),Buizeru,"056 (Diamond,Pearl)056 (Platinum)149 (Black 2,White 2)058 (X,Y)",418,60,30,Sea Weasel Pokmon,85, Water ,65 lbs (29.5 kg), Buizel is a Water type Pokmon introduced in Generation 4. It is known as the Sea Weasel Pokmon. ,Buizel
418,Swift SwimWater Veil (hidden ability),105,178,70 (normal),"75 (9.8% with PokBall, full HP)",55, 2 Speed," Field, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,85,3′7″ (1.09m),Furozeru,"057 (Diamond,Pearl)057 (Platinum)150 (Black 2,White 2)059 (X,Y)",419,85,50,Sea Weasel Pokmon,115, Water ,73.9 lbs (33.5 kg), Floatzel is a Water type Pokmon introduced in Generation 4. It is known as the Sea Weasel Pokmon. ,Floatzel
419,Chlorophyll,35,68,70 (normal),"190 (24.8% with PokBall, full HP)",45, 1 Special Attack," Fairy, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,45,1′4″ (0.41m),Cherinbo,"058 (Diamond,Pearl)058 (Platinum)",420,62,53,Cherry Pokmon,35, Grass ,7.3 lbs (3.3 kg), Cherubi is a Grass type Pokmon introduced in Generation 4. It is known as the Cherry Pokmon. ,Cherubi
420,Flower Gift,60,133,70 (normal),"75 (9.8% with PokBall, full HP)",70, 2 Special Attack," Fairy, Grass ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,70,1′8″ (0.51m),Cherimu,"059 (Diamond,Pearl)059 (Platinum)",421,87,78,Blossom Pokmon,85, Grass ,20.5 lbs (9.3 kg), Cherrim is a Grass type Pokmon introduced in Generation 4. It is known as the Blossom Pokmon. ,Cherrim
421,Sticky HoldStorm DrainSand Force (hidden ability),48,73,70 (normal),"190 (24.8% with PokBall, full HP)",48, 1 HP," Amorphous, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,76,1′0″ (0.30m),Karanakushi,"060 (Diamond,Pearl)060 (Platinum)",422,57,62,Sea Slug Pokmon,34, Water ,13.9 lbs (6.3 kg), Shellos is a Water type Pokmon introduced in Generation 4. It is known as the Sea Slug Pokmon. ,Shellos
422,Sticky HoldStorm DrainSand Force (hidden ability),83,176,70 (normal),"75 (9.8% with PokBall, full HP)",68, 2 HP," Amorphous, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,111,2′11″ (0.89m),Toritodon,"061 (Diamond,Pearl)061 (Platinum)",423,92,82,Sea Slug Pokmon,39, Water Ground ,65.9 lbs (29.9 kg), Gastrodon is a Water/Ground type Pokmon introduced in Generation 4. It is known as the Sea Slug Pokmon. ,Gastrodon
423,PickupTechnicianSkill Link (hidden ability),100,186,100 (higher than normal),"45 (5.9% with PokBall, full HP)",66, 2 Speed, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Fast,75,3′11″ (1.19m),Etebosu,"064 (Diamond,Pearl)064 (Platinum)124 (HeartGold,SoulSilver)",424,60,66,Long Tail Pokmon,115, Normal ,44.8 lbs (20.3 kg), Ambipom is a Normal type Pokmon introduced in Generation 4. It is known as the Long Tail Pokmon. ,Ambipom
424,AftermathUnburdenFlare Boost (hidden ability),50,127,70 (normal),"125 (16.3% with PokBall, full HP)",34, 1 HP, Amorphous ,"31 (minimum 7,905 steps)","50% male, 50% female",Fluctuating,90,1′4″ (0.41m),Fuwante,"065 (Diamond,Pearl)065 (Platinum)208 (Black 2,White 2)001 (X,Y)",425,60,44,Balloon Pokmon,70, Ghost Flying ,2.6 lbs (1.2 kg), Drifloon is a Ghost/Flying type Pokmon introduced in Generation 4. It is known as the Balloon Pokmon. ,Drifloon
425,AftermathUnburdenFlare Boost (hidden ability),80,204,70 (normal),"60 (7.8% with PokBall, full HP)",44, 2 HP, Amorphous ,"31 (minimum 7,905 steps)","50% male, 50% female",Fluctuating,150,3′11″ (1.19m),Fuwaraido,"066 (Diamond,Pearl)066 (Platinum)209 (Black 2,White 2)002 (X,Y)",426,90,54,Blimp Pokmon,80, Ghost Flying ,33.1 lbs (15.0 kg), Drifblim is a Ghost/Flying type Pokmon introduced in Generation 4. It is known as the Blimp Pokmon. ,Drifblim
